Year,State,District,Crop,Season,Area(in Hectares),Production(in Tonnes)
1998,ANDHRA PRADESH                ,ADILABAD,Arhar,Kharif,35900,12700
1998,ANDHRA PRADESH                ,ADILABAD,Arhar,Rabi,100,100
1998,ANDHRA PRADESH                ,ADILABAD,Bajra,Rabi,300,100
1998,ANDHRA PRADESH                ,ADILABAD,Castor seed,Kharif,2100,400
1998,ANDHRA PRADESH                ,ADILABAD,Cotton(lint),Kharif,162100,154400
1998,ANDHRA PRADESH                ,ADILABAD,Dry chillies,Whole year,6700,5100
1998,ANDHRA PRADESH                ,ADILABAD,Gram,Rabi,2900,400
1998,ANDHRA PRADESH                ,ADILABAD,Groundnut,Kharif,100,100
1998,ANDHRA PRADESH                ,ADILABAD,Groundnut,Rabi,5300,6900
1998,ANDHRA PRADESH                ,ADILABAD,Horse-gram,Rabi,3200,600
1998,ANDHRA PRADESH                ,ADILABAD,Jowar,Kharif,49800,60400
1998,ANDHRA PRADESH                ,ADILABAD,Jowar,Rabi,93500,40900
1998,ANDHRA PRADESH                ,ADILABAD,Maize,Kharif,24900,59500
1998,ANDHRA PRADESH                ,ADILABAD,Maize,Rabi,4400,18400
1998,ANDHRA PRADESH                ,ADILABAD,Moong,Kharif,18200,5300
1998,ANDHRA PRADESH                ,ADILABAD,Moong,Rabi,3900,500
1998,ANDHRA PRADESH                ,ADILABAD,Other  Rabi pulses,Rabi,2000,300
1998,ANDHRA PRADESH                ,ADILABAD,Other Kharif pulses,Kharif,1200,100
1998,ANDHRA PRADESH                ,ADILABAD,Rice,Kharif,66400,152300
1998,ANDHRA PRADESH                ,ADILABAD,Rice,Rabi,12200,33500
1998,ANDHRA PRADESH                ,ADILABAD,Sesamum,Kharif,12400,2400
1998,ANDHRA PRADESH                ,ADILABAD,Sesamum,Rabi,3100,900
1998,ANDHRA PRADESH                ,ADILABAD,Sugarcane,Whole year,300,28800
1998,ANDHRA PRADESH                ,ADILABAD,Sunflower,Kharif,3800,2800
1998,ANDHRA PRADESH                ,ADILABAD,Sunflower,Rabi,700,300
1998,ANDHRA PRADESH                ,ADILABAD,Tobacco,Whole year,200,400
1998,ANDHRA PRADESH                ,ADILABAD,Urad,Kharif,16900,6100
1998,ANDHRA PRADESH                ,ADILABAD,Urad,Rabi,700,300
1998,ANDHRA PRADESH                ,ADILABAD,Wheat,Rabi,2800,1600
1998,ANDHRA PRADESH                ,ANANTPUR,Arhar,Kharif,27400,9100
1998,ANDHRA PRADESH                ,ANANTPUR,Bajra,Kharif,2600,1900
1998,ANDHRA PRADESH                ,ANANTPUR,Castor seed,Kharif,3200,1000
1998,ANDHRA PRADESH                ,ANANTPUR,Cotton(lint),Kharif,14000,12900
1998,ANDHRA PRADESH                ,ANANTPUR,Dry chillies,Whole year,4200,10200
1998,ANDHRA PRADESH                ,ANANTPUR,Gram,Rabi,26200,25900
1998,ANDHRA PRADESH                ,ANANTPUR,Groundnut,Kharif,755200,867800
1998,ANDHRA PRADESH                ,ANANTPUR,Groundnut,Rabi,25900,35800
1998,ANDHRA PRADESH                ,ANANTPUR,Horse-gram,Kharif,2300,900
1998,ANDHRA PRADESH                ,ANANTPUR,Horse-gram,Rabi,700,500
1998,ANDHRA PRADESH                ,ANANTPUR,Jowar,Kharif,3700,5800
1998,ANDHRA PRADESH                ,ANANTPUR,Jowar,Rabi,14800,22100
1998,ANDHRA PRADESH                ,ANANTPUR,Korra,Kharif,4600,3400
1998,ANDHRA PRADESH                ,ANANTPUR,Maize,Kharif,3300,6700
1998,ANDHRA PRADESH                ,ANANTPUR,Maize,Rabi,300,1600
1998,ANDHRA PRADESH                ,ANANTPUR,Moong,Kharif,2100,1300
1998,ANDHRA PRADESH                ,ANANTPUR,Other Kharif pulses,Kharif,2000,300
1998,ANDHRA PRADESH                ,ANANTPUR,Ragi,Kharif,7000,14900
1998,ANDHRA PRADESH                ,ANANTPUR,Ragi,Rabi,700,1200
1998,ANDHRA PRADESH                ,ANANTPUR,Rice,Kharif,38300,96800
1998,ANDHRA PRADESH                ,ANANTPUR,Rice,Rabi,26600,63900
1998,ANDHRA PRADESH                ,ANANTPUR,Sugarcane,Whole year,700,65900
1998,ANDHRA PRADESH                ,ANANTPUR,Sunflower,Kharif,21300,12200
1998,ANDHRA PRADESH                ,ANANTPUR,Sunflower,Rabi,13500,3300
1998,ANDHRA PRADESH                ,ANANTPUR,Tobacco,Whole year,100,100
1998,ANDHRA PRADESH                ,ANANTPUR,Wheat,Rabi,400,200
1998,ANDHRA PRADESH                ,CHITTOOR,Arhar,Kharif,6100,1000
1998,ANDHRA PRADESH                ,CHITTOOR,Bajra,Kharif,1700,3400
1998,ANDHRA PRADESH                ,CHITTOOR,Castor seed,Kharif,200,100
1998,ANDHRA PRADESH                ,CHITTOOR,Dry chillies,Whole year,3800,5000
1998,ANDHRA PRADESH                ,CHITTOOR,Groundnut,Kharif,235500,211000
1998,ANDHRA PRADESH                ,CHITTOOR,Groundnut,Rabi,31100,83800
1998,ANDHRA PRADESH                ,CHITTOOR,Horse-gram,Kharif,3000,1700
1998,ANDHRA PRADESH                ,CHITTOOR,Horse-gram,Rabi,1100,800
1998,ANDHRA PRADESH                ,CHITTOOR,Jowar,Kharif,2500,1400
1998,ANDHRA PRADESH                ,CHITTOOR,Korra,Kharif,100,100
1998,ANDHRA PRADESH                ,CHITTOOR,Maize,Kharif,100,300
1998,ANDHRA PRADESH                ,CHITTOOR,Maize,Rabi,100,300
1998,ANDHRA PRADESH                ,CHITTOOR,Moong,Kharif,300,200
1998,ANDHRA PRADESH                ,CHITTOOR,Other Kharif pulses,Kharif,2300,400
1998,ANDHRA PRADESH                ,CHITTOOR,Ragi,Kharif,10800,11000
1998,ANDHRA PRADESH                ,CHITTOOR,Ragi,Rabi,1600,2700
1998,ANDHRA PRADESH                ,CHITTOOR,Rice,Kharif,42000,105400
1998,ANDHRA PRADESH                ,CHITTOOR,Rice,Rabi,62400,159200
1998,ANDHRA PRADESH                ,CHITTOOR,Samai,Kharif,1500,300
1998,ANDHRA PRADESH                ,CHITTOOR,Sesamum,Kharif,400,100
1998,ANDHRA PRADESH                ,CHITTOOR,Sesamum,Rabi,300,100
1998,ANDHRA PRADESH                ,CHITTOOR,Sugarcane,Whole year,34500,3377000
1998,ANDHRA PRADESH                ,CHITTOOR,Sunflower,Kharif,1000,700
1998,ANDHRA PRADESH                ,CHITTOOR,Sunflower,Rabi,800,300
1998,ANDHRA PRADESH                ,CHITTOOR,Urad,Kharif,200,200
1998,ANDHRA PRADESH                ,CUDDAPAH,Arhar,Kharif,7600,4400
1998,ANDHRA PRADESH                ,CUDDAPAH,Bajra,Kharif,3000,6000
1998,ANDHRA PRADESH                ,CUDDAPAH,Bajra,Rabi,500,900
1998,ANDHRA PRADESH                ,CUDDAPAH,Castor seed,Kharif,1000,300
1998,ANDHRA PRADESH                ,CUDDAPAH,Cotton(lint),Kharif,24800,22900
1998,ANDHRA PRADESH                ,CUDDAPAH,Dry chillies,Whole year,5000,7700
1998,ANDHRA PRADESH                ,CUDDAPAH,Gram,Rabi,17400,26600
1998,ANDHRA PRADESH                ,CUDDAPAH,Groundnut,Kharif,132300,109500
1998,ANDHRA PRADESH                ,CUDDAPAH,Groundnut,Rabi,32000,59000
1998,ANDHRA PRADESH                ,CUDDAPAH,Horse-gram,Kharif,300,100
1998,ANDHRA PRADESH                ,CUDDAPAH,Horse-gram,Rabi,400,200
1998,ANDHRA PRADESH                ,CUDDAPAH,Jowar,Kharif,6700,5400
1998,ANDHRA PRADESH                ,CUDDAPAH,Jowar,Rabi,1600,1800
1998,ANDHRA PRADESH                ,CUDDAPAH,Korra,Kharif,600,300
1998,ANDHRA PRADESH                ,CUDDAPAH,Maize,Kharif,100,100
1998,ANDHRA PRADESH                ,CUDDAPAH,Moong,Kharif,600,300
1998,ANDHRA PRADESH                ,CUDDAPAH,Ragi,Kharif,100,100
1998,ANDHRA PRADESH                ,CUDDAPAH,Ragi,Rabi,600,1100
1998,ANDHRA PRADESH                ,CUDDAPAH,Rice,Kharif,59200,169800
1998,ANDHRA PRADESH                ,CUDDAPAH,Rice,Rabi,17000,41600
1998,ANDHRA PRADESH                ,CUDDAPAH,Sesamum,Kharif,4200,800
1998,ANDHRA PRADESH                ,CUDDAPAH,Sesamum,Rabi,500,100
1998,ANDHRA PRADESH                ,CUDDAPAH,Sugarcane,Whole year,400,38200
1998,ANDHRA PRADESH                ,CUDDAPAH,Sunflower,Kharif,56100,43200
1998,ANDHRA PRADESH                ,CUDDAPAH,Sunflower,Rabi,14500,3600
1998,ANDHRA PRADESH                ,CUDDAPAH,Tobacco,Whole year,1100,900
1998,ANDHRA PRADESH                ,CUDDAPAH,Urad,Rabi,200,200
1998,ANDHRA PRADESH                ,EAST GODAVARI,Arhar,Kharif,2100,300
1998,ANDHRA PRADESH                ,EAST GODAVARI,Bajra,Kharif,4300,2400
1998,ANDHRA PRADESH                ,EAST GODAVARI,Cotton(lint),Kharif,7900,6300
1998,ANDHRA PRADESH                ,EAST GODAVARI,Dry chillies,Whole year,2200,5500
1998,ANDHRA PRADESH                ,EAST GODAVARI,Groundnut,Kharif,800,900
1998,ANDHRA PRADESH                ,EAST GODAVARI,Groundnut,Rabi,1500,2500
1998,ANDHRA PRADESH                ,EAST GODAVARI,Horse-gram,Kharif,200,100
1998,ANDHRA PRADESH                ,EAST GODAVARI,Horse-gram,Rabi,2200,1200
1998,ANDHRA PRADESH                ,EAST GODAVARI,Jowar,Kharif,1200,300
1998,ANDHRA PRADESH                ,EAST GODAVARI,Jowar,Rabi,100,100
1998,ANDHRA PRADESH                ,EAST GODAVARI,Korra,Kharif,1300,1000
1998,ANDHRA PRADESH                ,EAST GODAVARI,Maize,Kharif,1700,3600
1998,ANDHRA PRADESH                ,EAST GODAVARI,Maize,Rabi,3800,18700
1998,ANDHRA PRADESH                ,EAST GODAVARI,Moong,Kharif,100,100
1998,ANDHRA PRADESH                ,EAST GODAVARI,Moong,Rabi,63700,28600
1998,ANDHRA PRADESH                ,EAST GODAVARI,Other  Rabi pulses,Rabi,200,100
1998,ANDHRA PRADESH                ,EAST GODAVARI,Ragi,Kharif,500,500
1998,ANDHRA PRADESH                ,EAST GODAVARI,Ragi,Rabi,100,100
1998,ANDHRA PRADESH                ,EAST GODAVARI,Rice,Kharif,256300,386600
1998,ANDHRA PRADESH                ,EAST GODAVARI,Rice,Rabi,157600,656600
1998,ANDHRA PRADESH                ,EAST GODAVARI,Samai,Kharif,2100,700
1998,ANDHRA PRADESH                ,EAST GODAVARI,Sesamum,Kharif,1700,400
1998,ANDHRA PRADESH                ,EAST GODAVARI,Sesamum,Rabi,2900,700
1998,ANDHRA PRADESH                ,EAST GODAVARI,Small millets,Kharif,200,100
1998,ANDHRA PRADESH                ,EAST GODAVARI,Sugarcane,Whole year,16400,1254900
1998,ANDHRA PRADESH                ,EAST GODAVARI,Sunflower,Kharif,200,100
1998,ANDHRA PRADESH                ,EAST GODAVARI,Tobacco,Whole year,7000,15900
1998,ANDHRA PRADESH                ,EAST GODAVARI,Urad,Kharif,400,300
1998,ANDHRA PRADESH                ,EAST GODAVARI,Urad,Rabi,63800,19700
1998,ANDHRA PRADESH                ,GUNTUR,Arhar,Kharif,27100,20700
1998,ANDHRA PRADESH                ,GUNTUR,Arhar,Rabi,200,200
1998,ANDHRA PRADESH                ,GUNTUR,Bajra,Kharif,100,100
1998,ANDHRA PRADESH                ,GUNTUR,Bajra,Rabi,200,200
1998,ANDHRA PRADESH                ,GUNTUR,Castor seed,Kharif,1400,200
1998,ANDHRA PRADESH                ,GUNTUR,Cotton(lint),Kharif,193600,120700
1998,ANDHRA PRADESH                ,GUNTUR,Dry chillies,Whole year,36900,131400
1998,ANDHRA PRADESH                ,GUNTUR,Gram,Rabi,1400,2700
1998,ANDHRA PRADESH                ,GUNTUR,Groundnut,Kharif,300,400
1998,ANDHRA PRADESH                ,GUNTUR,Groundnut,Rabi,5900,9300
1998,ANDHRA PRADESH                ,GUNTUR,Jowar,Kharif,600,200
1998,ANDHRA PRADESH                ,GUNTUR,Jowar,Rabi,800,1000
1998,ANDHRA PRADESH                ,GUNTUR,Maize,Kharif,2300,4700
1998,ANDHRA PRADESH                ,GUNTUR,Maize,Rabi,2800,14100
1998,ANDHRA PRADESH                ,GUNTUR,Moong,Kharif,11500,7200
1998,ANDHRA PRADESH                ,GUNTUR,Moong,Rabi,5000,2000
1998,ANDHRA PRADESH                ,GUNTUR,Rice,Kharif,298400,921400
1998,ANDHRA PRADESH                ,GUNTUR,Rice,Rabi,29100,99900
1998,ANDHRA PRADESH                ,GUNTUR,Sesamum,Kharif,1900,300
1998,ANDHRA PRADESH                ,GUNTUR,Sesamum,Rabi,6000,2700
1998,ANDHRA PRADESH                ,GUNTUR,Sugarcane,Whole year,2100,150300
1998,ANDHRA PRADESH                ,GUNTUR,Tobacco,Whole year,9900,13600
1998,ANDHRA PRADESH                ,GUNTUR,Urad,Kharif,3900,3000
1998,ANDHRA PRADESH                ,GUNTUR,Urad,Rabi,127100,107400
1998,ANDHRA PRADESH                ,GUNTUR,Varagu,Rabi,100,100
1998,ANDHRA PRADESH                ,HYDERABAD,Rice,Kharif,100,200
1998,ANDHRA PRADESH                ,HYDERABAD,Rice,Rabi,100,200
1998,ANDHRA PRADESH                ,KARIMNAGAR,Arhar,Kharif,5400,2000
1998,ANDHRA PRADESH                ,KARIMNAGAR,Arhar,Rabi,300,100
1998,ANDHRA PRADESH                ,KARIMNAGAR,Bajra,Rabi,600,300
1998,ANDHRA PRADESH                ,KARIMNAGAR,Castor seed,Kharif,400,100
1998,ANDHRA PRADESH                ,KARIMNAGAR,Cotton(lint),Kharif,84300,195800
1998,ANDHRA PRADESH                ,KARIMNAGAR,Dry chillies,Whole year,12000,22700
1998,ANDHRA PRADESH                ,KARIMNAGAR,Gram,Rabi,700,100
1998,ANDHRA PRADESH                ,KARIMNAGAR,Groundnut,Kharif,9300,3700
1998,ANDHRA PRADESH                ,KARIMNAGAR,Groundnut,Rabi,19900,29000
1998,ANDHRA PRADESH                ,KARIMNAGAR,Horse-gram,Rabi,1400,300
1998,ANDHRA PRADESH                ,KARIMNAGAR,Jowar,Kharif,600,200
1998,ANDHRA PRADESH                ,KARIMNAGAR,Jowar,Rabi,3300,1900
1998,ANDHRA PRADESH                ,KARIMNAGAR,Maize,Kharif,61000,210400
1998,ANDHRA PRADESH                ,KARIMNAGAR,Maize,Rabi,35500,159000
1998,ANDHRA PRADESH                ,KARIMNAGAR,Moong,Kharif,38600,10300
1998,ANDHRA PRADESH                ,KARIMNAGAR,Other Kharif pulses,Kharif,900,300
1998,ANDHRA PRADESH                ,KARIMNAGAR,Rice,Kharif,135000,413100
1998,ANDHRA PRADESH                ,KARIMNAGAR,Rice,Rabi,123300,423400
1998,ANDHRA PRADESH                ,KARIMNAGAR,Sesamum,Kharif,3400,700
1998,ANDHRA PRADESH                ,KARIMNAGAR,Sesamum,Rabi,600,200
1998,ANDHRA PRADESH                ,KARIMNAGAR,Sugarcane,Whole year,2000,178800
1998,ANDHRA PRADESH                ,KARIMNAGAR,Sunflower,Kharif,5800,4200
1998,ANDHRA PRADESH                ,KARIMNAGAR,Tobacco,Whole year,3100,4900
1998,ANDHRA PRADESH                ,KARIMNAGAR,Wheat,Rabi,200,100
1998,ANDHRA PRADESH                ,KHAMMAM,Arhar,Kharif,23200,11600
1998,ANDHRA PRADESH                ,KHAMMAM,Arhar,Rabi,500,200
1998,ANDHRA PRADESH                ,KHAMMAM,Bajra,Kharif,600,300
1998,ANDHRA PRADESH                ,KHAMMAM,Cotton(lint),Kharif,88100,143100
1998,ANDHRA PRADESH                ,KHAMMAM,Dry chillies,Whole year,20700,61800
1998,ANDHRA PRADESH                ,KHAMMAM,Groundnut,Kharif,1700,1000
1998,ANDHRA PRADESH                ,KHAMMAM,Groundnut,Rabi,12100,15700
1998,ANDHRA PRADESH                ,KHAMMAM,Horse-gram,Rabi,1000,400
1998,ANDHRA PRADESH                ,KHAMMAM,Jowar,Kharif,4400,3000
1998,ANDHRA PRADESH                ,KHAMMAM,Jowar,Rabi,21700,13900
1998,ANDHRA PRADESH                ,KHAMMAM,Maize,Kharif,16200,37600
1998,ANDHRA PRADESH                ,KHAMMAM,Maize,Rabi,2300,9500
1998,ANDHRA PRADESH                ,KHAMMAM,Moong,Kharif,33700,16700
1998,ANDHRA PRADESH                ,KHAMMAM,Moong,Rabi,1600,200
1998,ANDHRA PRADESH                ,KHAMMAM,Rice,Kharif,160700,439400
1998,ANDHRA PRADESH                ,KHAMMAM,Rice,Rabi,24900,68900
1998,ANDHRA PRADESH                ,KHAMMAM,Sesamum,Kharif,1400,300
1998,ANDHRA PRADESH                ,KHAMMAM,Sesamum,Rabi,7900,1400
1998,ANDHRA PRADESH                ,KHAMMAM,Sugarcane,Whole year,3800,315900
1998,ANDHRA PRADESH                ,KHAMMAM,Sunflower,Kharif,2000,1500
1998,ANDHRA PRADESH                ,KHAMMAM,Tobacco,Whole year,10700,23000
1998,ANDHRA PRADESH                ,KHAMMAM,Urad,Kharif,500,200
1998,ANDHRA PRADESH                ,KHAMMAM,Urad,Rabi,3300,1800
1998,ANDHRA PRADESH                ,KRISHNA,Arhar,Kharif,8800,5000
1998,ANDHRA PRADESH                ,KRISHNA,Arhar,Rabi,100,100
1998,ANDHRA PRADESH                ,KRISHNA,Cotton(lint),Kharif,41300,32500
1998,ANDHRA PRADESH                ,KRISHNA,Dry chillies,Whole year,12200,40300
1998,ANDHRA PRADESH                ,KRISHNA,Gram,Rabi,100,100
1998,ANDHRA PRADESH                ,KRISHNA,Groundnut,Kharif,4000,3300
1998,ANDHRA PRADESH                ,KRISHNA,Groundnut,Rabi,9100,15100
1998,ANDHRA PRADESH                ,KRISHNA,Horse-gram,Rabi,1200,300
1998,ANDHRA PRADESH                ,KRISHNA,Jowar,Rabi,100,100
1998,ANDHRA PRADESH                ,KRISHNA,Maize,Kharif,3000,6200
1998,ANDHRA PRADESH                ,KRISHNA,Maize,Rabi,1700,8600
1998,ANDHRA PRADESH                ,KRISHNA,Moong,Kharif,25000,15600
1998,ANDHRA PRADESH                ,KRISHNA,Moong,Rabi,2900,2100
1998,ANDHRA PRADESH                ,KRISHNA,Rice,Kharif,280800,759900
1998,ANDHRA PRADESH                ,KRISHNA,Rice,Rabi,134500,491200
1998,ANDHRA PRADESH                ,KRISHNA,Sesamum,Kharif,400,100
1998,ANDHRA PRADESH                ,KRISHNA,Sesamum,Rabi,1700,400
1998,ANDHRA PRADESH                ,KRISHNA,Sugarcane,Whole year,17300,1852600
1998,ANDHRA PRADESH                ,KRISHNA,Sunflower,Kharif,1200,900
1998,ANDHRA PRADESH                ,KRISHNA,Tobacco,Whole year,8000,15400
1998,ANDHRA PRADESH                ,KRISHNA,Urad,Kharif,2700,2100
1998,ANDHRA PRADESH                ,KRISHNA,Urad,Rabi,80300,61100
1998,ANDHRA PRADESH                ,KURNOOL,Arhar,Kharif,26400,10000
1998,ANDHRA PRADESH                ,KURNOOL,Arhar,Rabi,600,200
1998,ANDHRA PRADESH                ,KURNOOL,Bajra,Kharif,17700,16200
1998,ANDHRA PRADESH                ,KURNOOL,Bajra,Rabi,300,300
1998,ANDHRA PRADESH                ,KURNOOL,Castor seed,Kharif,800,300
1998,ANDHRA PRADESH                ,KURNOOL,Cotton(lint),Kharif,153700,142000
1998,ANDHRA PRADESH                ,KURNOOL,Dry chillies,Whole year,10800,12600
1998,ANDHRA PRADESH                ,KURNOOL,Gram,Rabi,54400,44500
1998,ANDHRA PRADESH                ,KURNOOL,Groundnut,Kharif,209100,139000
1998,ANDHRA PRADESH                ,KURNOOL,Groundnut,Rabi,40100,83100
1998,ANDHRA PRADESH                ,KURNOOL,Horse-gram,Rabi,2300,1400
1998,ANDHRA PRADESH                ,KURNOOL,Jowar,Kharif,9400,9100
1998,ANDHRA PRADESH                ,KURNOOL,Jowar,Rabi,90200,96300
1998,ANDHRA PRADESH                ,KURNOOL,Korra,Kharif,27500,19600
1998,ANDHRA PRADESH                ,KURNOOL,Korra,Rabi,100,100
1998,ANDHRA PRADESH                ,KURNOOL,Maize,Kharif,700,1400
1998,ANDHRA PRADESH                ,KURNOOL,Maize,Rabi,100,400
1998,ANDHRA PRADESH                ,KURNOOL,Moong,Kharif,4700,2900
1998,ANDHRA PRADESH                ,KURNOOL,Moong,Rabi,1300,500
1998,ANDHRA PRADESH                ,KURNOOL,Rice,Kharif,75100,221700
1998,ANDHRA PRADESH                ,KURNOOL,Rice,Rabi,20900,44500
1998,ANDHRA PRADESH                ,KURNOOL,Sesamum,Rabi,600,200
1998,ANDHRA PRADESH                ,KURNOOL,Sugarcane,Whole year,200,15100
1998,ANDHRA PRADESH                ,KURNOOL,Sunflower,Kharif,58300,46600
1998,ANDHRA PRADESH                ,KURNOOL,Sunflower,Rabi,71200,28300
1998,ANDHRA PRADESH                ,KURNOOL,Tobacco,Whole year,22100,18700
1998,ANDHRA PRADESH                ,KURNOOL,Urad,Kharif,600,500
1998,ANDHRA PRADESH                ,KURNOOL,Urad,Rabi,3100,2000
1998,ANDHRA PRADESH                ,KURNOOL,Wheat,Rabi,700,400
1998,ANDHRA PRADESH                ,MAHABOOBNAGAR,Arhar,Kharif,49400,12000
1998,ANDHRA PRADESH                ,MAHABOOBNAGAR,Bajra,Kharif,14500,5500
1998,ANDHRA PRADESH                ,MAHABOOBNAGAR,Castor seed,Kharif,101700,20300
1998,ANDHRA PRADESH                ,MAHABOOBNAGAR,Cotton(lint),Kharif,93600,77100
1998,ANDHRA PRADESH                ,MAHABOOBNAGAR,Dry chillies,Whole year,11600,16600
1998,ANDHRA PRADESH                ,MAHABOOBNAGAR,Gram,Rabi,2900,400
1998,ANDHRA PRADESH                ,MAHABOOBNAGAR,Groundnut,Kharif,85800,48800
1998,ANDHRA PRADESH                ,MAHABOOBNAGAR,Groundnut,Rabi,44600,50000
1998,ANDHRA PRADESH                ,MAHABOOBNAGAR,Horse-gram,Kharif,10300,3900
1998,ANDHRA PRADESH                ,MAHABOOBNAGAR,Horse-gram,Rabi,3100,700
1998,ANDHRA PRADESH                ,MAHABOOBNAGAR,Jowar,Kharif,129800,77700
1998,ANDHRA PRADESH                ,MAHABOOBNAGAR,Jowar,Rabi,43000,23800
1998,ANDHRA PRADESH                ,MAHABOOBNAGAR,Korra,Kharif,3000,1800
1998,ANDHRA PRADESH                ,MAHABOOBNAGAR,Maize,Kharif,20100,67200
1998,ANDHRA PRADESH                ,MAHABOOBNAGAR,Maize,Rabi,500,2100
1998,ANDHRA PRADESH                ,MAHABOOBNAGAR,Mesta,Kharif,100,800
1998,ANDHRA PRADESH                ,MAHABOOBNAGAR,Moong,Kharif,28300,12400
1998,ANDHRA PRADESH                ,MAHABOOBNAGAR,Other Kharif pulses,Kharif,400,100
1998,ANDHRA PRADESH                ,MAHABOOBNAGAR,Ragi,Kharif,11900,8600
1998,ANDHRA PRADESH                ,MAHABOOBNAGAR,Ragi,Rabi,500,1000
1998,ANDHRA PRADESH                ,MAHABOOBNAGAR,Rice,Kharif,72100,141200
1998,ANDHRA PRADESH                ,MAHABOOBNAGAR,Rice,Rabi,74700,150500
1998,ANDHRA PRADESH                ,MAHABOOBNAGAR,Samai,Kharif,600,200
1998,ANDHRA PRADESH                ,MAHABOOBNAGAR,Sesamum,Rabi,1900,500
1998,ANDHRA PRADESH                ,MAHABOOBNAGAR,Small millets,Kharif,100,100
1998,ANDHRA PRADESH                ,MAHABOOBNAGAR,Sunflower,Kharif,14400,9200
1998,ANDHRA PRADESH                ,MAHABOOBNAGAR,Sunflower,Rabi,15600,6100
1998,ANDHRA PRADESH                ,MAHABOOBNAGAR,Tobacco,Whole year,7500,4300
1998,ANDHRA PRADESH                ,MAHABOOBNAGAR,Urad,Kharif,1300,400
1998,ANDHRA PRADESH                ,MAHABOOBNAGAR,Wheat,Rabi,200,100
1998,ANDHRA PRADESH                ,MEDAK,Arhar,Kharif,18000,6300
1998,ANDHRA PRADESH                ,MEDAK,Bajra,Kharif,1700,800
1998,ANDHRA PRADESH                ,MEDAK,Castor seed,Kharif,1700,400
1998,ANDHRA PRADESH                ,MEDAK,Cotton(lint),Kharif,22600,32300
1998,ANDHRA PRADESH                ,MEDAK,Dry chillies,Whole year,10000,8800
1998,ANDHRA PRADESH                ,MEDAK,Gram,Rabi,17600,2100
1998,ANDHRA PRADESH                ,MEDAK,Groundnut,Kharif,2100,2000
1998,ANDHRA PRADESH                ,MEDAK,Groundnut,Rabi,7700,9900
1998,ANDHRA PRADESH                ,MEDAK,Horse-gram,Kharif,500,200
1998,ANDHRA PRADESH                ,MEDAK,Horse-gram,Rabi,1300,300
1998,ANDHRA PRADESH                ,MEDAK,Jowar,Kharif,54800,35900
1998,ANDHRA PRADESH                ,MEDAK,Jowar,Rabi,46600,29400
1998,ANDHRA PRADESH                ,MEDAK,Maize,Kharif,77700,270700
1998,ANDHRA PRADESH                ,MEDAK,Maize,Rabi,2400,10000
1998,ANDHRA PRADESH                ,MEDAK,Moong,Kharif,37800,16600
1998,ANDHRA PRADESH                ,MEDAK,Other  Rabi pulses,Rabi,900,200
1998,ANDHRA PRADESH                ,MEDAK,Other Kharif pulses,Kharif,1200,200
1998,ANDHRA PRADESH                ,MEDAK,Ragi,Kharif,200,100
1998,ANDHRA PRADESH                ,MEDAK,Rice,Kharif,70700,172100
1998,ANDHRA PRADESH                ,MEDAK,Rice,Rabi,52100,131400
1998,ANDHRA PRADESH                ,MEDAK,Sesamum,Rabi,3700,700
1998,ANDHRA PRADESH                ,MEDAK,Sugarcane,Whole year,16300,1207400
1998,ANDHRA PRADESH                ,MEDAK,Sunflower,Kharif,6900,5000
1998,ANDHRA PRADESH                ,MEDAK,Sunflower,Rabi,3000,900
1998,ANDHRA PRADESH                ,MEDAK,Tobacco,Whole year,200,300
1998,ANDHRA PRADESH                ,MEDAK,Urad,Kharif,23500,3200
1998,ANDHRA PRADESH                ,MEDAK,Wheat,Rabi,3500,2200
1998,ANDHRA PRADESH                ,NALGONDA,Arhar,Kharif,26400,11900
1998,ANDHRA PRADESH                ,NALGONDA,Bajra,Kharif,19200,10300
1998,ANDHRA PRADESH                ,NALGONDA,Castor seed,Kharif,66300,16200
1998,ANDHRA PRADESH                ,NALGONDA,Cotton(lint),Kharif,112700,128600
1998,ANDHRA PRADESH                ,NALGONDA,Dry chillies,Whole year,9800,35500
1998,ANDHRA PRADESH                ,NALGONDA,Gram,Rabi,400,100
1998,ANDHRA PRADESH                ,NALGONDA,Groundnut,Kharif,37200,25300
1998,ANDHRA PRADESH                ,NALGONDA,Groundnut,Rabi,16800,17100
1998,ANDHRA PRADESH                ,NALGONDA,Horse-gram,Rabi,4600,900
1998,ANDHRA PRADESH                ,NALGONDA,Jowar,Kharif,13600,5900
1998,ANDHRA PRADESH                ,NALGONDA,Jowar,Rabi,16200,6300
1998,ANDHRA PRADESH                ,NALGONDA,Maize,Kharif,1700,5800
1998,ANDHRA PRADESH                ,NALGONDA,Maize,Rabi,100,500
1998,ANDHRA PRADESH                ,NALGONDA,Moong,Kharif,43600,22100
1998,ANDHRA PRADESH                ,NALGONDA,Rice,Kharif,164300,491600
1998,ANDHRA PRADESH                ,NALGONDA,Rice,Rabi,153700,431500
1998,ANDHRA PRADESH                ,NALGONDA,Sesamum,Rabi,5900,2000
1998,ANDHRA PRADESH                ,NALGONDA,Sugarcane,Whole year,100,7000
1998,ANDHRA PRADESH                ,NALGONDA,Sunflower,Kharif,2200,1600
1998,ANDHRA PRADESH                ,NALGONDA,Sunflower,Rabi,500,200
1998,ANDHRA PRADESH                ,NALGONDA,Tobacco,Whole year,300,500
